Frame,Inference Time (seconds)
raish.jpg_0,0.19954252243041992
Rohit.jpg_1,0.1970677375793457
Siddhart.jpg_2,0.21957731246948242
Prassana.jpg_3,0.20848870277404785
premal.jpg_4,0.20334887504577637
Harsh.jpg_5,0.21827483177185059
Jayesh.jpg_6,0.21000123023986816
Urmit.jpg_7,0.22591114044189453
Ayan.jpg_8,0.23468446731567383
Om.jpg_9,0.22093462944030762
heer.jpg_10,0.21433806419372559
Om.jpg_11,0.22037076950073242
Aman.jpg_12,0.2240769863128662
dhruvin.jpg_13,0.23424959182739258
Hetvi.jpg_14,0.20605087280273438
yash.jpg_15,0.20868825912475586
Shubh.jpg_16,0.19566679000854492
Siddhart.jpg_17,0.21708059310913086
vipra.jpg_18,0.20725178718566895
Urmit.jpg_19,0.20411467552185059
Siddhart.jpg_20,0.1943659782409668
Siddhart.jpg_21,0.1946554183959961
Man.jpg_22,0.20229625701904297
vipra.jpg_23,0.2209019660949707
raish.jpg_24,0.20342230796813965
stuti.jpg_25,0.20319747924804688
Ritu.jpg_26,0.20823979377746582
Bhaskar.jpg_27,0.20725798606872559
Sushant.jpg_28,0.21417808532714844
Rahul.jpg_29,0.19829082489013672
Jay.jpg_30,0.20764970779418945
chandan.jpg_31,0.20909762382507324
Harsh.jpg_32,0.21113204956054688
Siddhart.jpg_33,0.1986839771270752
