Frame,Inference Time (seconds)
yash.jpg_0,0.2305316925048828
Ayan.jpg_1,0.23044705390930176
Rohit.jpg_2,0.26359057426452637
Man.jpg_3,0.23421478271484375
krish.jpg_4,0.24202561378479004
premal.jpg_5,0.2743358612060547
Jayesh.jpg_6,0.2319962978363037
Harsh.jpg_7,0.22319555282592773
Om.jpg_8,0.2083585262298584
Jay.jpg_9,0.22064208984375
Urmit.jpg_10,0.24126410484313965
Jayesh.jpg_11,0.2634730339050293
Harsh.jpg_12,0.255889892578125
raish.jpg_13,0.23723697662353516
Om.jpg_14,0.23844003677368164
Harsh.jpg_15,0.30426454544067383
Urmit.jpg_16,0.2703208923339844
